伝票番号,購入日時,店舗,顧客ID,商品カテゴリ,商品名,単価,数量,合計購入金額,決済方法
INV-12228,2025-01-01,横浜店,C-291,加工食品,パスタソース,562,1,562,QR決済
INV-18109,2025-01-01,ECサイト,C-191,飲料・酒類,高級赤ワイン,2057,1,2057,電子マネー
INV-13650,2025-01-01,さいたま店,C-196,家庭用品,LED電球,5887,1,5887,現金
INV-13326,2025-01-01,東京本店,C-091,飲料・酒類,クラフトビール6缶パック,4541,5,22705,電子マネー
INV-18878,2025-01-01,ECサイト,C-023,家庭用品,電動歯ブラシ,3294,3,9882,QR決済
INV-13981,2025-01-01,東京本店,C-037,日用雑貨,キッチンペーパー,627,1,627,電子マネー
INV-15902,2025-01-01,さいたま店,C-050,日用雑貨,抗菌洗剤セット,671,1,671,クレジットカード
INV-13872,2025-01-01,横浜店,C-292,生鮮食品,朝採れ野菜セット,1943,2,3886,電子マネー
INV-19105,2025-01-01,横浜店,C-231,生鮮食品,国産牛サーロイン,1697,2,3394,電子マネー
INV-16136,2025-01-01,千葉店,C-300,加工食品,パスタソース,315,1,315,現金
INV-14380,2025-01-01,さいたま店,C-121,家庭用品,LED電球,3276,1,3276,QR決済
INV-13437,2025-01-01,横浜店,C-250,生鮮食品,朝採れ野菜セット,1741,1,1741,QR決済
INV-18392,2025-01-01,千葉店,C-060,飲料・酒類,ミネラルウォーター,3379,1,3379,電子マネー
INV-13609,2025-01-01,横浜店,C-184,生鮮食品,季節のフルーツ盛,1621,2,3242,クレジットカード
INV-19231,2025-01-01,さいたま店,C-111,家庭用品,セラミックフライパン,3168,1,3168,クレジットカード
INV-16216,2025-01-01,ECサイト,C-289,飲料・酒類,ミネラルウォーター,2282,1,2282,電子マネー
INV-12165,2025-01-01,東京本店,C-254,家庭用品,セラミックフライパン,3148,1,3148,QR決済
INV-16013,2025-01-01,さいたま店,C-033,加工食品,特製ドレッシング,308,2,616,現金
INV-13150,2025-01-01,ECサイト,C-282,飲料・酒類,ミネラルウォーター,3124,1,3124,QR決済
INV-10701,2025-01-01,ECサイト,C-097,飲料・酒類,高級赤ワイン,1297,1,1297,現金
INV-12506,2025-01-01,東京本店,C-188,加工食品,レトルトカレー,692,1,692,現金
INV-19279,2025-01-01,ECサイト,C-140,日用雑貨,高機能マスク,953,1,953,クレジットカード
INV-14461,2025-01-01,千葉店,C-156,加工食品,特製ドレッシング,303,1,303,電子マネー
INV-17440,2025-01-01,横浜店,C-165,加工食品,レトルトカレー,538,2,1076,QR決済
INV-16595,2025-01-01,ECサイト,C-167,日用雑貨,抗菌洗剤セット,948,2,1896,QR決済
INV-14053,2025-01-01,横浜店,C-095,家庭用品,セラミックフライパン,6101,1,6101,クレジットカード
INV-19318,2025-01-01,千葉店,C-263,生鮮食品,国産牛サーロイン,1770,1,1770,現金
INV-10472,2025-01-01,東京本店,C-158,生鮮食品,季節のフルーツ盛,1815,1,1815,電子マネー
INV-16653,2025-01-01,横浜店,C-247,生鮮食品,国産牛サーロイン,1682,1,1682,クレジットカード
INV-17829,2025-01-01,さいたま店,C-276,家庭用品,セラミックフライパン,4873,1,4873,QR決済
INV-13451,2025-01-02,東京本店,C-050,家庭用品,セラミックフライパン,6680,2,13360,QR決済
INV-17471,2025-01-02,東京本店,C-118,加工食品,特製ドレッシング,789,1,789,電子マネー
INV-10789,2025-01-02,ECサイト,C-154,加工食品,レトルトカレー,762,1,762,現金
INV-16766,2025-01-02,東京本店,C-209,家庭用品,LED電球,2855,1,2855,クレジットカード
INV-17967,2025-01-02,ECサイト,C-010,飲料・酒類,高級赤ワイン,4553,2,9106,QR決済
INV-17679,2025-01-02,東京本店,C-063,加工食品,パスタソース,357,2,714,現金
INV-12204,2025-01-02,東京本店,C-154,家庭用品,電動歯ブラシ,6964,1,6964,電子マネー
INV-18276,2025-01-02,さいたま店,C-067,飲料・酒類,クラフトビール6缶パック,3689,2,7378,電子マネー
INV-14707,2025-01-02,東京本店,C-041,加工食品,パスタソース,343,2,686,QR決済
INV-10200,2025-01-02,横浜店,C-247,飲料・酒類,クラフトビール6缶パック,1534,1,1534,クレジットカード
INV-12957,2025-01-02,さいたま店,C-195,飲料・酒類,クラフトビール6缶パック,3340,4,13360,クレジットカード
INV-15792,2025-01-02,ECサイト,C-260,加工食品,特製ドレッシング,411,2,822,QR決済
INV-13610,2025-01-02,横浜店,C-283,日用雑貨,高機能マスク,1140,2,2280,クレジットカード
INV-14114,2025-01-02,東京本店,C-139,日用雑貨,キッチンペーパー,1047,2,2094,クレジットカード
INV-18072,2025-01-02,横浜店,C-240,飲料・酒類,ミネラルウォーター,2524,3,7572,QR決済
INV-16041,2025-01-02,ECサイト,C-258,生鮮食品,季節のフルーツ盛,2381,3,7143,電子マネー
INV-18082,2025-01-02,ECサイト,C-118,生鮮食品,季節のフルーツ盛,2323,5,11615,現金
INV-12518,2025-01-02,ECサイト,C-091,加工食品,パスタソース,336,1,336,現金
INV-13520,2025-01-02,千葉店,C-171,生鮮食品,季節のフルーツ盛,1589,2,3178,クレジットカード
INV-14533,2025-01-02,ECサイト,C-018,生鮮食品,朝採れ野菜セット,1925,4,7700,クレジットカード
INV-10883,2025-01-02,ECサイト,C-031,生鮮食品,季節のフルーツ盛,1936,1,1936,クレジットカード
INV-16394,2025-01-02,横浜店,C-184,家庭用品,セラミックフライパン,3881,1,3881,QR決済
INV-17530,2025-01-02,さいたま店,C-266,家庭用品,LED電球,3998,1,3998,電子マネー
INV-12344,2025-01-02,さいたま店,C-040,日用雑貨,高機能マスク,1192,1,1192,QR決済
INV-11336,2025-01-02,東京本店,C-052,加工食品,レトルトカレー,712,1,712,クレジットカード
INV-15680,2025-01-02,さいたま店,C-106,日用雑貨,高機能マスク,532,2,1064,現金
INV-19619,2025-01-02,東京本店,C-121,加工食品,パスタソース,389,1,389,現金
INV-16072,2025-01-02,横浜店,C-230,飲料・酒類,ミネラルウォーター,4672,1,4672,クレジットカード
INV-17701,2025-01-03,東京本店,C-117,日用雑貨,高機能マスク,873,3,2619,電子マネー
INV-19810,2025-01-03,東京本店,C-165,加工食品,レトルトカレー,723,1,723,QR決済
INV-10624,2025-01-03,横浜店,C-064,飲料・酒類,高級赤ワイン,4981,1,4981,現金
INV-14615,2025-01-03,横浜店,C-075,生鮮食品,朝採れ野菜セット,2805,1,2805,クレジットカード
INV-14779,2025-01-03,千葉店,C-079,家庭用品,セラミックフライパン,4538,1,4538,QR決済
INV-15608,2025-01-03,千葉店,C-270,飲料・酒類,クラフトビール6缶パック,3956,5,19780,クレジットカード
INV-12979,2025-01-03,ECサイト,C-062,日用雑貨,キッチンペーパー,1453,4,5812,電子マネー
INV-17697,2025-01-03,さいたま店,C-173,日用雑貨,高機能マスク,1370,1,1370,現金
INV-19906,2025-01-03,横浜店,C-155,加工食品,レトルトカレー,716,1,716,クレジットカード
INV-17621,2025-01-03,千葉店,C-138,日用雑貨,高機能マスク,733,1,733,電子マネー
INV-10198,2025-01-03,横浜店,C-056,日用雑貨,キッチンペーパー,1324,1,1324,電子マネー
INV-15561,2025-01-03,東京本店,C-222,飲料・酒類,ミネラルウォーター,4870,3,14610,クレジットカード
INV-19408,2025-01-03,横浜店,C-054,飲料・酒類,クラフトビール6缶パック,1886,2,3772,QR決済
INV-19704,2025-01-03,千葉店,C-036,飲料・酒類,ミネラルウォーター,4435,1,4435,クレジットカード
INV-13564,2025-01-03,千葉店,C-010,加工食品,パスタソース,413,3,1239,クレジットカード
INV-17374,2025-01-03,横浜店,C-084,加工食品,特製ドレッシング,590,2,1180,電子マネー
INV-16555,2025-01-03,東京本店,C-283,生鮮食品,国産牛サーロイン,2256,1,2256,電子マネー
INV-10745,2025-01-03,千葉店,C-287,飲料・酒類,高級赤ワイン,4012,3,12036,クレジットカード
INV-14642,2025-01-03,千葉店,C-199,加工食品,パスタソース,474,5,2370,QR決済
INV-10433,2025-01-03,さいたま店,C-125,家庭用品,LED電球,7298,3,21894,現金
INV-17947,2025-01-03,横浜店,C-282,家庭用品,セラミックフライパン,5114,1,5114,QR決済
INV-17646,2025-01-03,東京本店,C-136,加工食品,特製ドレッシング,470,1,470,クレジットカード
INV-16856,2025-01-03,さいたま店,C-234,生鮮食品,国産牛サーロイン,2200,3,6600,現金
INV-12932,2025-01-03,ECサイト,C-020,生鮮食品,国産牛サーロイン,2131,4,8524,現金
INV-18160,2025-01-03,東京本店,C-213,飲料・酒類,高級赤ワイン,3858,1,3858,現金
INV-11176,2025-01-03,東京本店,C-091,家庭用品,セラミックフライパン,7900,1,7900,電子マネー
INV-14484,2025-01-03,さいたま店,C-192,日用雑貨,高機能マスク,1312,2,2624,QR決済
INV-17262,2025-01-03,ECサイト,C-016,日用雑貨,高機能マスク,1253,3,3759,クレジットカード
INV-18376,2025-01-03,千葉店,C-003,日用雑貨,高機能マスク,472,1,472,QR決済
INV-18176,2025-01-03,東京本店,C-049,日用雑貨,抗菌洗剤セット,803,1,803,QR決済
INV-14404,2025-01-03,千葉店,C-043,生鮮食品,朝採れ野菜セット,2574,1,2574,QR決済
INV-11134,2025-01-03,さいたま店,C-202,生鮮食品,国産牛サーロイン,1317,2,2634,クレジットカード
INV-12698,2025-01-03,横浜店,C-128,飲料・酒類,高級赤ワイン,1834,1,1834,QR決済
INV-10560,2025-01-03,千葉店,C-131,日用雑貨,抗菌洗剤セット,1239,1,1239,クレジットカード
INV-14936,2025-01-03,さいたま店,C-290,家庭用品,電動歯ブラシ,7770,1,7770,QR決済
INV-13053,2025-01-04,東京本店,C-126,日用雑貨,高機能マスク,1076,4,4304,QR決済
INV-14793,2025-01-04,千葉店,C-025,加工食品,パスタソース,413,1,413,電子マネー
INV-19089,2025-01-04,東京本店,C-026,飲料・酒類,クラフトビール6缶パック,4440,2,8880,クレジットカード
INV-18453,2025-01-04,ECサイト,C-287,飲料・酒類,ミネラルウォーター,3338,4,13352,電子マネー
INV-14787,2025-01-04,東京本店,C-297,生鮮食品,朝採れ野菜セット,2451,1,2451,クレジットカード
INV-12000,2025-01-04,東京本店,C-049,日用雑貨,抗菌洗剤セット,409,5,2045,電子マネー
INV-14719,2025-01-04,横浜店,C-227,生鮮食品,国産牛サーロイン,2142,3,6426,QR決済
INV-15703,2025-01-04,ECサイト,C-032,飲料・酒類,クラフトビール6缶パック,1780,1,1780,現金
INV-13244,2025-01-04,横浜店,C-016,加工食品,特製ドレッシング,610,1,610,クレジットカード
INV-10326,2025-01-04,ECサイト,C-136,家庭用品,LED電球,6447,1,6447,QR決済
INV-19367,2025-01-04,千葉店,C-049,日用雑貨,高機能マスク,1496,1,1496,電子マネー
INV-19173,2025-01-04,横浜店,C-077,生鮮食品,朝採れ野菜セット,2710,2,5420,QR決済
