respondent_id,age,gender,region,q1_satisfaction,q2_quality,q3_price,q4_service,q5_recommendation,nps_score,feedback
1,25,女性,東京,5,4,3,5,5,9,とても満足しています
2,34,男性,大阪,4,4,4,4,4,8,良い商品だと思います
3,45,女性,名古屋,3,3,2,3,3,6,普通です
4,28,男性,福岡,5,5,5,5,5,10,最高のサービスです
5,52,女性,札幌,2,2,1,2,1,3,あまり良くない
6,31,男性,東京,4,5,4,4,4,8,満足しています
7,39,女性,大阪,5,5,4,5,5,9,素晴らしい体験でした
8,22,男性,名古屋,3,3,3,3,3,7,まあまあです
9,48,女性,福岡,4,4,4,4,4,8,良いと思います
10,35,男性,札幌,5,5,5,5,5,10,完璧です
11,27,女性,東京,4,4,3,4,4,8,概ね満足
12,41,男性,大阪,3,3,3,3,3,6,可もなく不可もなく
13,29,女性,名古屋,5,4,5,5,5,9,とても良いサービス
14,55,男性,福岡,2,2,2,2,2,4,改善が必要
15,33,女性,札幌,4,5,4,4,4,8,満足度は高い
16,26,男性,東京,5,5,5,5,5,10,文句なし
17,44,女性,大阪,3,4,3,3,3,7,普通レベル
18,30,男性,名古屋,4,4,4,4,4,8,良好です
19,37,女性,福岡,5,5,4,5,5,9,非常に満足
20,50,男性,札幌,3,3,3,3,3,6,標準的
21,24,女性,東京,4,4,4,4,4,8,満足しています
22,38,男性,大阪,5,5,5,5,5,10,期待以上でした
23,46,女性,名古屋,2,3,2,2,2,5,やや不満
24,32,男性,福岡,4,4,4,4,4,8,良いです
25,28,女性,札幌,5,5,5,5,5,9,大変満足
26,40,男性,東京,3,3,3,3,3,7,普通
27,23,女性,大阪,4,5,4,4,4,8,満足度高い
28,49,男性,名古屋,5,5,5,5,5,10,最高評価
29,36,女性,福岡,4,4,4,4,4,8,良好
30,51,男性,札幌,3,3,3,3,3,6,平均的
31,25,女性,東京,5,5,4,5,5,9,素晴らしい
32,43,男性,大阪,4,4,4,4,4,8,満足
33,29,女性,名古屋,3,3,3,3,3,7,普通
34,47,男性,福岡,5,5,5,5,5,10,完璧
35,34,女性,札幌,4,4,4,4,4,8,良い
36,27,男性,東京,5,5,5,5,5,9,とても良い
37,42,女性,大阪,3,4,3,3,3,7,まあまあ
38,31,男性,名古屋,4,4,4,4,4,8,満足
39,53,女性,福岡,2,2,2,2,2,4,不満
40,26,男性,札幌,5,5,5,5,5,10,最高
41,39,女性,東京,4,4,4,4,4,8,良好
42,45,男性,大阪,3,3,3,3,3,6,普通
43,28,女性,名古屋,5,5,5,5,5,9,大満足
44,50,男性,福岡,4,4,4,4,4,8,満足
45,35,女性,札幌,3,3,3,3,3,7,平均
46,24,男性,東京,5,5,5,5,5,10,完璧
47,41,女性,大阪,4,4,4,4,4,8,良い
48,30,男性,名古屋,3,3,3,3,3,7,普通
49,48,女性,福岡,5,5,5,5,5,9,素晴らしい
50,33,男性,札幌,4,4,4,4,4,8,満足
