transaction_id,customer_id,purchase_date,product_category,product_name,quantity,unit_price,total_amount,payment_method
T001,C001,2024-01-05,電化製品,ノートパソコン,1,120000,120000,クレジットカード
T002,C002,2024-01-06,食品,有機野菜セット,2,3000,6000,現金
T003,C003,2024-01-07,衣類,ワイシャツ,3,5000,15000,クレジットカード
T004,C001,2024-01-08,書籍,ビジネス書,2,2000,4000,電子マネー
T005,C004,2024-01-09,電化製品,スマートフォン,1,80000,80000,クレジットカード
T006,C005,2024-01-10,食品,オーガニックコーヒー,5,1500,7500,現金
T007,C002,2024-01-12,衣類,ジーンズ,2,8000,16000,クレジットカード
T008,C006,2024-01-13,書籍,小説,1,1800,1800,電子マネー
T009,C007,2024-01-15,電化製品,タブレット,1,60000,60000,クレジットカード
T010,C003,2024-01-16,食品,フルーツ詰め合わせ,1,5000,5000,現金
T011,C008,2024-01-18,衣類,セーター,2,6000,12000,クレジットカード
T012,C001,2024-01-20,書籍,料理本,1,2500,2500,電子マネー
T013,C009,2024-01-21,電化製品,ヘッドフォン,1,15000,15000,クレジットカード
T014,C004,2024-01-23,食品,チーズセット,3,2000,6000,現金
T015,C010,2024-01-24,衣類,コート,1,25000,25000,クレジットカード
T016,C005,2024-01-26,書籍,自己啓発書,2,1500,3000,電子マネー
T017,C011,2024-01-28,電化製品,デジタルカメラ,1,95000,95000,クレジットカード
T018,C002,2024-01-30,食品,ワインセット,2,8000,16000,現金
T019,C012,2024-02-01,衣類,スカート,1,7000,7000,クレジットカード
T020,C006,2024-02-03,書籍,マンガ,5,500,2500,電子マネー
T021,C013,2024-02-05,電化製品,スマートウォッチ,1,35000,35000,クレジットカード
T022,C003,2024-02-07,食品,パスタセット,4,1000,4000,現金
T023,C014,2024-02-09,衣類,ドレス,1,18000,18000,クレジットカード
T024,C007,2024-02-11,書籍,雑誌,3,800,2400,電子マネー
T025,C015,2024-02-13,電化製品,イヤホン,2,8000,16000,クレジットカード
T026,C001,2024-02-15,食品,お米,1,5000,5000,現金
T027,C008,2024-02-17,衣類,ネクタイ,4,3000,12000,クレジットカード
T028,C004,2024-02-19,書籍,技術書,1,4000,4000,電子マネー
T029,C016,2024-02-21,電化製品,キーボード,1,12000,12000,クレジットカード
T030,C009,2024-02-23,食品,スナック詰め合わせ,6,500,3000,現金
T031,C017,2024-02-25,衣類,靴,1,15000,15000,クレジットカード
T032,C005,2024-02-27,書籍,絵本,3,1200,3600,電子マネー
T033,C018,2024-03-01,電化製品,モニター,1,40000,40000,クレジットカード
T034,C002,2024-03-03,食品,調味料セット,2,2500,5000,現金
T035,C019,2024-03-05,衣類,バッグ,1,22000,22000,クレジットカード
T036,C010,2024-03-07,書籍,参考書,2,3000,6000,電子マネー
T037,C020,2024-03-09,電化製品,プリンター,1,28000,28000,クレジットカード
T038,C003,2024-03-11,食品,飲料セット,8,300,2400,現金
T039,C011,2024-03-13,衣類,帽子,2,4000,8000,クレジットカード
T040,C006,2024-03-15,書籍,エッセイ,1,1600,1600,電子マネー
T041,C012,2024-03-17,電化製品,マウス,2,3000,6000,クレジットカード
T042,C001,2024-03-19,食品,お菓子セット,5,800,4000,現金
T043,C013,2024-03-21,衣類,手袋,3,2000,6000,クレジットカード
T044,C007,2024-03-23,書籍,旅行ガイド,1,2200,2200,電子マネー
T045,C014,2024-03-25,電化製品,USBメモリ,4,1500,6000,クレジットカード
T046,C004,2024-03-27,食品,冷凍食品,10,600,6000,現金
T047,C015,2024-03-29,衣類,マフラー,1,5000,5000,クレジットカード
T048,C008,2024-03-31,書籍,辞書,1,5000,5000,電子マネー
T049,C016,2024-04-02,電化製品,外付けHDD,1,18000,18000,クレジットカード
T050,C009,2024-04-04,食品,缶詰セット,12,400,4800,現金
